STATE,STATEFP,PLACEFP,PLACENAME,COUNTY
AL,1,100,Abanda ,Chambers County
AL,1,124,Abbeville ,Henry County
AL,1,460,Adamsville ,Jefferson County
AL,1,484,Addison ,Winston County
AL,1,676,Akron ,Hale County
AL,1,820,Alabaster ,Shelby County
AL,1,988,Albertville ,Marshall County
AL,1,1132,Alexander City ,Tallapoosa County
AL,1,1180,Alexandria ,Calhoun County
AL,1,1228,Aliceville ,Pickens County
AL,1,1396,Allgood ,Blount County
AL,1,1660,Altoona ,"Blount County, Etowah County"
AL,1,1708,Andalusia ,Covington County
AL,1,1756,Anderson ,Lauderdale County
AL,1,1852,Anniston ,Calhoun County
AL,1,2116,Arab ,"Cullman County, Marshall County"
AL,1,2260,Ardmore ,Limestone County
AL,1,2320,Argo ,"Jefferson County, St. Clair County"
AL,1,2428,Ariton ,Dale County
AL,1,2500,Arley ,Winston County
AL,1,2836,Ashford ,Houston County
AL,1,2860,Ashland ,Clay County
AL,1,2908,Ashville ,St. Clair County
AL,1,2956,Athens ,Limestone County
AL,1,3004,Atmore ,Escambia County
AL,1,3028,Attalla ,Etowah County
AL,1,3076,Auburn ,Lee County
AL,1,3220,Autaugaville ,Autauga County
AL,1,3364,Avon ,Houston County
AL,1,3508,Axis ,Mobile County
AL,1,3556,Babbie ,Covington County
AL,1,3676,Baileyton ,Cullman County
AL,1,3724,Bakerhill ,Barbour County
AL,1,3820,Ballplay ,Etowah County
AL,1,3940,Banks ,Pike County
AL,1,4660,Bay Minette ,Baldwin County
AL,1,4684,Bayou La Batre ,Mobile County
AL,1,4852,Bear Creek ,Marion County
AL,1,4900,Beatrice ,Monroe County
AL,1,4948,Beaverton ,Lamar County
AL,1,5140,Belgreen ,Franklin County
AL,1,5164,Belk ,Fayette County
AL,1,5188,Bellamy ,Sumter County
AL,1,5212,Belle Fontaine ,Mobile County
AL,1,5692,Benton ,Lowndes County
AL,1,5932,Berry ,Fayette County
AL,1,5980,Bessemer ,Jefferson County
AL,1,6460,Billingsley ,Autauga County
